oos_deviance,error,seed,model,predictor,years_ix,forecasting_horizon,age_breakets
107.650177647287,0.319000825400737,1,separate,rh,2,1,26-35
49.2734940913309,0.573981557933876,1,separate,lc,2,1,36-45
100.213499538391,0.518661350945449,1,separate,apc,2,1,36-45
147.255408610376,0.534074671422601,1,separate,rh,2,1,36-45
62.3624371422844,0.34700996149754,1,separate,lc,2,1,46-55
124.354947218656,0.344636384160585,1,separate,apc,2,1,46-55
188.047938885757,0.373023865408575,1,separate,rh,2,1,46-55
73.9137274208298,0.185750449486626,1,separate,lc,2,1,56-65
146.517071035485,0.226486131669399,1,separate,apc,2,1,56-65
221.89916422759,0.235373304627661,1,separate,rh,2,1,56-65
97.4420145908614,0.216298481458882,1,separate,lc,2,1,66-75
189.142999107905,0.229748065930538,1,separate,apc,2,1,66-75
284.946740722743,0.242339753759764,1,separate,rh,2,1,66-75
110.517206630984,0.127976558180476,1,separate,lc,2,1,76-85
220.226137730504,0.135135436602273,1,separate,apc,2,1,76-85
348.57514490927,0.160438613082844,1,separate,rh,2,1,76-85
30.6682308499192,0.378160958871947,1,total,lc,3,1,16-25
61.8780697301902,0.394741271224529,1,total,apc,3,1,16-25
93.8995392215065,0.402580504933223,1,total,rh,3,1,16-25
41.1314996447245,0.377297555446275,1,total,lc,3,1,26-35
81.9652755971156,0.368682293061551,1,total,apc,3,1,26-35
124.387916137964,0.377492949541611,1,total,rh,3,1,26-35
46.4870238444131,0.255880211006787,1,total,lc,3,1,36-45
96.997153791834,0.24497037393427,1,total,apc,3,1,36-45
147.106562931499,0.241539301821273,1,total,rh,3,1,36-45
70.4017164484472,0.614894282336749,1,total,lc,3,1,46-55
140.033073796653,0.619955143151155,1,total,apc,3,1,46-55
211.415700529452,0.617123953486124,1,total,rh,3,1,46-55
85.6292965998963,0.327284685270918,1,total,lc,3,1,56-65
166.199114329598,0.334152130700296,1,total,apc,3,1,56-65
248.7580566608,0.335626502897896,1,total,rh,3,1,56-65
117.554349308738,0.249540057923642,1,total,lc,3,1,66-75
220.756977843261,0.249429532269092,1,total,apc,3,1,66-75
329.058007767399,0.24949499882027,1,total,rh,3,1,66-75
156.50690978787,0.259656050169287,1,total,lc,3,1,76-85
346.114010041275,0.258807941423234,1,total,apc,3,1,76-85
525.453135663666,0.25900232253321,1,total,rh,3,1,76-85
30.6779262394622,0.378449920706166,1,credibility,lc,3,1,16-25
61.8925552714841,0.394958475790727,1,credibility,apc,3,1,16-25
93.9140247628004,0.402725307977354,1,credibility,rh,3,1,16-25
41.1673520365288,0.377752972866001,1,credibility,lc,3,1,26-35
82.093891763476,0.369861241547011,1,credibility,apc,3,1,26-35
124.562555462001,0.37851183569039,1,credibility,rh,3,1,26-35
46.5593204656111,0.257067615021939,1,credibility,lc,3,1,36-45
97.0472367968735,0.245963255124993,1,credibility,apc,3,1,36-45
147.087344310411,0.242331869566063,1,credibility,rh,3,1,36-45
70.2710223585446,0.610558718552605,1,credibility,lc,3,1,46-55
139.668464807059,0.615285106672166,1,credibility,apc,3,1,46-55
210.803697485094,0.612298588281185,1,credibility,rh,3,1,46-55
83.8609545887983,0.300267709404403,1,credibility,lc,3,1,56-65
162.3859308066,0.299904770887363,1,credibility,apc,3,1,56-65
243.031706624721,0.300004698086138,1,credibility,rh,3,1,56-65
112.925198609483,0.217102027545842,1,credibility,lc,3,1,66-75
209.513833652616,0.206525721350623,1,credibility,apc,3,1,66-75
312.120005140163,0.205114356319022,1,credibility,rh,3,1,66-75
